"1971 Canadian Occupational Prestige Data
 8791 PLUMBING  8.33  6928  0.61 42.9
 8798 CONST_LABOUR  7.52  3910  1.09 26.5
 9111 AIR_PILOTS 12.27 14032  0.58 66.1
 9131 LOCO_ENGINEER         8.49  8845  0.00 48.9
 9171 BUS_DRIVERS                    7.58  5562  9.47 35.9
 9173 TAXI_DRIVERS_CHAUFFEURS        7.93  4224  3.59 25.1
 9313 LONGSHOREMEN  8.37  4753  0.00 26.1
 9511 TYPESETTING       10.00  6462 13.58 42.2
 9517 BOOKBINDERS    8.55  3617 70.87 35.2

